letter,t,s,d,m,v,a,h,l,w,j
t,1,0.027777778,0.055555556,0.083333333,0.1,0.1,0.083333333,0.055555556,0.027777778,0
s,0,0.75,0.055555556,0.083333333,0.1,0.1,0.083333333,0.055555556,0.027777778,0
d,0,0.027777778,0.5,0.083333333,0.1,0.1,0.083333333,0.055555556,0.027777778,0
m,0,0.027777778,0.055555556,0.25,0.1,0.1,0.083333333,0.055555556,0.027777778,0
v,0,0.027777778,0.055555556,0.083333333,0.1,0.1,0.083333333,0.055555556,0.027777778,0
a,0,0.027777778,0.055555556,0.083333333,0.1,0.1,0.083333333,0.055555556,0.027777778,0
h,0,0.027777778,0.055555556,0.083333333,0.1,0.1,0.25,0.055555556,0.027777778,0
l,0,0.027777778,0.055555556,0.083333333,0.1,0.1,0.083333333,0.5,0.027777778,0
w,0,0.027777778,0.055555556,0.083333333,0.1,0.1,0.083333333,0.055555556,0.75,0
j,0,0.027777778,0.055555556,0.083333333,0.1,0.1,0.083333333,0.055555556,0.027777778,1
